code,description,make,model,category,serial,quantity,cost,purchased_on,warranty_expires,location,owning_project
,"7-1/4"" Worm Drive Saw",Skilsaw,E490426,Power Tools,131001401,1,,,,,
,Cutquiksaw,Stihl,TS420,Power Tools,42383510502B,1,,,,,
,Blower,Stihl,BG50,,42297010609A,1,,,,,
,Rotary Hammer,Bosch,11255VSR,Power Tools,12505,1,,,,,
,Rotary Hammer,Bosch,11264EVS,Power Tools,3611B64012,1,,,,,
,Grinder,DeWalt,DWE402,Power Tools,DWE402,1,,,,,
,Grinder,Bosch,GWS10-45P,Power Tools,124000438,1,,,,,
,Automatic Level,Spectra Precision,Optical Automatic Level,,AL24A,1,,,,,
,Laser,Spectra Precision,CR600,,LL300N,1,,,,,
,Fall Protection,Sala,Twin Class 2 3500276,,0914197,1,,,,,
,Fall Protection,Sala,Twin Class 2 3500276,,0914198,1,,,,,
,Fall Protection,Sala,Twin Class 2 3500276,,09132204,1,,,,,
,Fall Protection,Sala,Twin Class 2 3500276,,09132205,1,,,,,
,Fall Protection,Sala,Twin Class 2 3500276,,0914251,1,,,,,
,Fall Protection,Sala,Twin Class 2 3500276,,0914252,1,,,,,
,Safety Harness,Protecta,3M Protecta,,1161205PR3,1,,,,,
,Safety Harness,Protecta,3M Protecta,,,1,,,,,
,Safety Harness,Protecta,3M Protecta,,,1,,,,,
,GENERATOR,WAKER NEWSON,GP6600,,24560605,1,,,,,
,GENERATOR,WAKER NEWSON,GP6600,,24560606,1,,,,,
,PLATE COMPACTOR,WAKER NEWSON,VP1550,,5100029054,1,,,,,
,QUIKIE SAW,STIHL,TS-420,Power Tools,,1,,,,,
,HAMMER DRILL,BOSCH,RH540M,Power Tools,330003021,1,,,,,
,QUIKIE SAW,STIHL,TS-420,Power Tools,194730816,1,,,,,
,"6 1/2"" WATER PAINT BRUSCH",,,,,3,,,,,
,"24"" CONCRETE FINISHER HORSE HAIR BROOM",,,,,2,,,,,
,10 LB. SLEDGE HAMMER,,,Power Tools,,1,,,,,
,BACK PACK VIBRATOR,OZTEC,GXH50UT,,AP3229811,1,,,,,
,6' BAKER BROOM,,,,,1,,,,,
,"16' X 1 1/2""X 3 1/2"" MAGNESIUM SCREED CRAFT",,,,,1,,,,,
,"28X AUTO BUILDERS LEVEL W/CASE, TRIPOD AND ROD",SPECTRA,,,919717,1,,,,,
,7' FLEXIBLE VIBRATOR SHAFT,OZTEC,,,,1,,,,,
,"2"" VIBRATOR HEAD",OZTEC,,,,1,,,,,
,100' Heavy Duty Extension Cords,,,,,4,,,,,
,50' Heavy Duty Extension Cords,,,,,2,,,,,
,"4-1/2"" Angel Grinder",,,Power Tools,,2,,,,,
,Air Compressor 2.5 Gallon Electric,Dewalt,,,,1,,,,,
,"7 - 1/2"" Warm Drive Circular Saw",Bosch,,Power Tools,125001343,1,,,,,
,"7 - 1/2"" Warm Drive Circular Saw",Skillsaw,,Power Tools,5060011989,1,,,,,
,Concrete vibrator Electric,Walker Neason,,,AM1200573,1,,,,,
,Drill Driver,Dewalt,,Power Tools,,1,,,,,
,SDS Max Drill,Bosch,RH540M,Power Tools,,1,,,,,
,SDS Max Drill,Dewalt,,Power Tools,3691B64012,1,,,,,
,SDS Plus Drill,Milwaukee,,Power Tools,,1,,,,,
,Water Pump,Wacker Newson,,,2A5A133213,1,,,,,
,Metal Gasoline Can With Flex Funnel Nozzle Red,Eagle,,,,2,,,,,
,Leaf Blower,Stihl,BG86,,,1,,,,,
,pick,,,,,3,,,,,
,Shovel,,,,,6,,,,,
,Level with Tripod,Topcon,,,,1,,,,,
,Smart Level 4',,,,,2,,,,,
,Bull Float,,,,,1,,,,,
,Fresno,,,,,1,,,,,
,Bull float Handles,,,,,8,,,,,
,Rebar Bender,,,,,1,,,,,
,BACK PACK VIBRATOR,Wacker Newson,BV50A-h,,,1,,,,,
,BACK PACK VIBRATOR,OZTEC,,,,1,,,,,
,BACK PACK VIBRATOR,Wacker Newson,BV50A-h,,24624707,1,,,,,
,Flexible Shaft 7',Wacker Newson,SM2S,,,1,,,,,
,Flexible Shaft 10',Wacker Newson,SM3S,,,1,,,,,
,Vibrator Motor,Wacker Newson,M2500,,11756304,1,,,,,
,BACK PACK VIBRATOR,Wacker Newson,Bv-003,,,1,,,,,
,Quickie saw,Ts-420,,Power Tools,,1,,,,,
,"worm drive saw 7/4""",BOSCH,ESW-41,Power Tools,329000328,1,,,,,
,Skillsaw,,SPT77W,Power Tools,422000122,1,,,,,
,Impact Drill,Milwaukee,,Power Tools,,1,,,,,
,1/2 Drill,Dewalt,DW2359,Power Tools,DFC-J007,1,,,,,
,Leaf Blower,STIHL,BG50,,541787597,1,,,,,
,HAMMER DRILL,BOSCH,11264EVS,Power Tools,423000281,1,,,,,
,Hammer DRILL,BOSCH,11264EVS,Power Tools,422000740,1,,,,,
,PLATE COMPACTOR,Wacker Newson,VP1550,,11377925,1,,,,,
,Power Generator,Wacker Newson,GP6600,,,1,,,,,
,Electric Cord Extension,,,,,1,,,,,
,"Angle Grinder 5""",BOSCH,GWS18V-10P 3061JJ4112,Power Tools,,1,,,,,
,2 Combo Kit,BOSCH,GDX18V-1860C 330000775,,,1,,,,,
,Water Pump,Wacker Newson,PST2-400,,24583097,1,,,,,
,HAMMER DRILL,BOSCH,11264EVS,Power Tools,2208001279,1,,,,,
,HAMMER DRILL,BOSCH,11264EVS,Power Tools,330000589,1,,,,,
,HAMMER DRILL,BOSCH,11255VSR,Power Tools,,1,,,,,
,"Drill bits 1/2"" x 6",BOSCH,,Power Tools,,10,,,,,
,Hand Blower,,BG-050,,547335331,1,,,,,
,Hand Blower,,BG-050,,547335333,1,,,,,
,Pin Pull,,,,,1,,,,,
,HAMMER DRILL,,,Power Tools,228000410,1,,,,,
,Quickie saw,,,Power Tools,,1,,,,,
,Hand Blower,,,,534800747,1,,,,,
,"5"" Angle Grinder",,,Power Tools,328050252,1,,,,,
,"5/1"" Angle Grinder",,,Power Tools,328050223,1,,,,,
,"7 1/4"" Worm Drive Saw",,CSW41,Power Tools,428001091,1,,,,,
,Hammer Drill,,,Power Tools,,2,,,,,
,Quickie saw,,,Power Tools,,1,,,,,
,Sds Max Drill,,RH540M,Power Tools,,1,,,,,
,Sds Max Drill,,RH540M,Power Tools,330000208,1,,,,,
,Quickie saw,,,Power Tools,,1,,,,,
,Generator,,S600,,,1,,,,,
,100' Heavy Duty Extension cords,,,,,2,,,,,
,Batteries,Dewalt,,,,2,,,,,
,Chargers,Dewalt,,,,1,,,,,
,Chargers,,,,,2,,,,,
,Warm Drive Circular Saw,Skilsaw,,Power Tools,,2,,,,,
,Drill Driver,Dewalt,,Power Tools,,1,,,,,
,"7"" Angel Grinder",Dewalt,,Power Tools,,1,,,,,
,Hammer Drill,Dewalt,,Power Tools,,1,,,,,
,Quicky Saw,Stihl,,Power Tools,,1,,,,,
,Water pump,,,,,1,,,,,
,"Wrench 1/2"" drive with battery",Impact,,,,1,,,,,
,"Wrench 1/4"" Drive with Battery",Impact,,,,1,,,,,
,3M Harnesses,,,,,4,,,,,
,Concrete Vibrator Nozzle,,,,,1,,,,,
,Hammer,,,Power Tools,,1,,,,,
,Pick,,,,,2,,,,,
,Ropes,,,,,2,,,,,
,Shovel,,,,,4,,,,,
,Leaf Blower,Stihl,BG86,,,1,,,,,
,Come alongs Concrete tools,,,,,2,,,,,
,Handles,,,,,4,,,,,
,Handle Floats concrete tools,,,,,2,,,,,
,Fresno 4' concrete tools,,,,,1,,,,,
,Bull Float 6',,,,,1,,,,,
,Metal Gasoline Can with Flex funnel Nozzle Red,Eagle,,,,3,,,,,
,"7"" Angel Grinder",Bosch,16219748,Power Tools,3260000650,1,,,,,
,"4-1/2"" Angel Grinder",Bosch,162GWS10450PD,Power Tools,328028630,1,,,,,
,"1/2"" Impact Wrench",Bosch,GDS18V-740CB14,Power Tools,223000098,1,,,,,
,"1/2"" Impact Wrench",Bosch,GDS18V-740CB14,Power Tools,223000094,1,,,,,
,Generator,Wacker Neuson,GP 5600,,24438481,1,,,,,
,"1/2"" High Torque",Milwaukee,2767-20,,H96AM225115870,1,,,,,
,"1/4"" Hex Impact Driver",Milwaukee,2953-20,Power Tools,M674F222813362,1,,,,,
,"4-1/2"" Angel Grinder",Milwaukee,61117-31,Power Tools,C92ED232000622,1,,,,,
,Warm Drive Circular Saw,Stihl,SPT77W,Power Tools,132000481,1,,,,,
,"1/4"" Hex Impact Driver",Milwaukee,2953-20,Power Tools,F27CF213300061,1,,,,,
,"7-1/4"" Blade Left Worm Saw",Bosch,CSW41,Power Tools,125000877,1,,,,,
,M18 / M12 Multi Voltage Charger,Milwaukee,48-59-1812,,D63DC225023350D,1,,,,,
,M18 / M12 Multi Voltage Charger,Milwaukee,48-59-1812,,D63DB213210838D,1,,,,,
,Reciprocating Saw,DeWalt,DWE305,Power Tools,315361,1,,,,,
,Battery Pack 5.0 Ah,Milwaukee,48-11-1850,,,1,,,,,
,Hammer Drill,HILTI,TE-60-AVR,Power Tools,,1,,,,,
,"5/8"" Mixer",Bosch,GBM9-16,,,1,,,,,
,Angle Grinder 10A,Bosch,GWX1045E,Power Tools,910111247,1,,,,,
,"1/2"" High Torque",DeWalt,,,,1,,,,,
,"1/2"" High Torque",Milwaukee,2767-22R,,H96AM225115752,1,,,,,
,Extension Cord 100',Yellow Jacket,,,,3,,,,,
,Lever Hoist 1-1/2Ton,Jet,,,,3,,,,,
,Headlamps for Employees,Cosoos,,,,6,,,,,
,Harnes M-L,Guardian,,,,5,,,,,
,yelow Strap 20',Kennedy Wire Rope,,,,1,,,,,
,Blue Straps 14',Kennedy Wire Rope,,,,4,,,,,
,Blue Straps 20',Kennedy Wire Rope,,,,2,,,,,
,"48"" Shovel Square",Union Tools,,,,1,,,,,
,"48"" Shovel Point",Union Tools,,,,1,,,,,
,"Wrench pipe 48""",Ridgid,,,,1,,,,,
,Sledge Hammer,True Temper,,Power Tools,,2,,,,,
,Concrete Spreader,Kraft,,,,1,,,,,
,Leaf Blower,Stihl,BG50,,540138103,1,,,,,
,Leaf Blower,Stihl,BG50,,530210159,1,,,,,
,Power Generator,Wacker Neuson,GP6600,,2443820,1,,,,,
,Concrete Vibrator,Wacker Neuson,,,,1,,,,,
,"14"" Quicky Saw",Stihl,TS 420,Power Tools,192747218,1,,,,,
,"16""x3-1/4"" Magnesium Float",Kraft,,,,2,,,,,
,"Magnetic Level 72""",Milwaukee,,,,1,,,,,
,"Magnetic Level 48""",Milwaukee,,,,1,,,,,
,"Pry Bar 60""",Kraft,,,,2,,,,,
,Gas can 5 gal,Eagle,,,,2,,,,,
,Gas can 2 gal,Eagle,,,,1,,,,,
,Form Release Red Can,Chapin,,,,1,,,,,
,Hammer Drill,,GBH18V-26DK26,Power Tools,902001213,1,,,,,
,Battery,,,,128120309,1,,,,,
,Battery,,,,128140289,1,,,,,
,Hammer Drill,Bosch,11255VSR,Power Tools,522004017,1,,,,,
,Portable Inverter Generator,Honda,EU 2200i,,EAMT-2954941,1,,,,,
,"1/2"" Impact Wrench",BOSCH,GDS18V-740CB14,Power Tools,131000151,1,,,,,
,"Combo kit (1/2"" Drill-1/4"" Impact)",BOSCH,GXL18V-227B25,Power Tools,227001674,1,,,,,
,"combo kit (1/2"" Drill-1/4"" Impact)",BOSCH,GXL18V-227B25,Power Tools,227001654,1,,,,,
,"7-1/4"" Warm Drive Circular Saw",BOSCH,CS10,Power Tools,326006188,1,,,,,
,"4-1/2"" Angle Grinder",BOSCH,GWS10450P,Power Tools,231012444,1,,,,,
,HD Caulk Gun,Husky,19PT0902,,,1,,,,,
,12 Gallon wet/dry Vacuum,Ridgid,HD1200,,,1,,,,,
,"3/4""x16""x21' SDS Drill bit",Bosch,HCFC5031,Power Tools,,2,,,,,
,"3/4"" x10""x12"" SDS drill bit",Bosch,HC2124,Power Tools,,2,,,,,
,"7/8"" x 16""x21"" SDS Max drill bit",Bosch,HCFC5041,Power Tools,,2,,,,,
,"7/8""x8""x10"" SDS drill bit",Bosch,HC2146,Power Tools,,2,,,,,
,"5/8""x16""x21"" sds drill bit",Bosch,HC5021,Power Tools,,2,,,,,
,6 Mil 20'x100' Black Poly,Bosch,3100,,,6,,,,,
,50' Extension Cord,Prime,500365,,,1,,,,,
,Strobe Light for Truck,Linkitom,,,,1,,,,,
,Headlamps for Employees,Cosoos,,,,6,,,,,
,2.5HP Vibrator motor,Wacker Neuson,5100006000,,,2,,,,,
,Head shaft for Vibrator,Wacker Neuson,5100025592,,,2,,,,,
,Tripod work light 1000watt,Voltec,800211,,,4,,,,,
,"5/8"" Tagline",,,,,1,,,,,
,"4""x10' Eye Sling yellow",Kennedy Wire Rope,,,,4,,,,,
,14' Blue Sling,Kennedy Wire Rope,,,,4,,,,,
,"6"" x2' sleeve protectors",Kennedy Wire Rope,,,,10,,,,,
,Harness M-L,Guardian,37193,,,8,,,,,
,Harness XL,Guardian,37193,,,2,,,,,
,Nano-lok 6' Twin,3M DBI/SALA,3101271,,,5,,,,,
,Sledge Hammer,True Temper,,Power Tools,,2,,,,,
,Open Reel 100ft,Milwaukee,48-22-5201,,,1,,,,,
,"12"" Adjustable Wrench",Milwaukee,48-22-7412,,,2,,,,,
,"36"" Steel Pipe",Milwaukee,48-22-7136,,,1,,,,,
,"24"" Steel Pipe",Milwaukee,48-22-7124,,,1,,,,,
,"1-1/4"" Shackle",1018570,,,,8,,,,,
,"1-1/8"" Shackle",1018552,,,,8,,,,,
,"7/8"" Shackle",1018516,,,,4,,,,,
,"24"" T Type Wrecking Bar",Hit Tools,09WB24T1,,,2,,,,,
,"1-1/16"" x 1/4"" x10"" bull pin",Klein Tools,3256,,,3,,,,,
,"48"" Shovel Point",Union Tools,40191,,,3,,,,,
,"48"" Shovel Square",Union Tools,40184,,,3,,,,,
,14pc Titanium Drill bit,DeWalt,DW1354,Power Tools,,1,,,,,
,9pc Spade bit set,Diablo,DSP2930S9,,,1,,,,,
,"3/4"" impact socket 1/2"" drive",DeWalt,DWMT73938OSP,Power Tools,,1,,,,,
,"1-1/8"" impact socket 1/2"" drive",DeWalt,DWMT74659OSP,Power Tools,,2,,,,,
,"1-1/4"" impact socket 1/2"" drive",DeWalt,DWMT74658OSP,Power Tools,,2,,,,,
,"7/8"" impact socket 1/2"" drive",DeWalt,DWMT73940OSP,Power Tools,,1,,,,,
,2lb Hammer,True Temper,20184100,Power Tools,,1,,,,,
,16' ladder,Werner,D62162,,,1,,,,,
,"10' 1-1/2""Ton lever hoist",Jet,287401,,,2,,,,,
,20' 3/4Ton lever hoist,Jet,287303,,,2,,,,,
,Bosch PH3,Bosch,27362B10,,,5,,,,,
,Leaf Blower,Stihl,BG50,,,1,,,,,
,Power Generator,Wacker Neuson,GP5600a,,,1,,,,,
,Power Generator,Honda,EB 6500X,,,1,,,,,
,"16""x3-1/4"" Magnesium Float",Kraft,CF016PF,,,4,,,,,
,Concrete Spreader,Anvil,57536,,,1,,,,,
,"24"" push Broom",Magnolia,3524,,,1,,,,,
,"78"" Magnetic Level",Milwaukee,500M78,,,1,,,,,
,"78"" Magnetic Level",Milwaukee,500M78,,,1,,,,,
,"24"" Magnetic Level",Milwaukee,500M24,,,1,,,,,
,"48"" Magnetic Level",Milwaukee,500M48,,,2,,,,,
,Red Concrete Sprayer,Chapin,1961N,,,2,,,,,
,5gal clear bucket,Argee,RG5600WC,,,4,,,,,
,"Drill Bid 1/4x6""",,,Power Tools,,2,,,,,
,"1 5/8""-1 1/8""-1 1/4"" Drill Bid",,,Power Tools,,1,,,,,
,"3/4""x 21"" Drill Bid",,HCF5031,Power Tools,,1,,,,,
,"7/8""x 21"" Drill Bid",,HCF5040,Power Tools,,1,,,,,
,Hammer Drill,Bosch,11264EVS,Power Tools,228001565,1,,,,,
,100' Heavy Duty Extension cords,,,,,1,,,,,
,100' Heavy Duty Extension Cords,,,,,1,,,,,
,"4-1/2"" Angel Grinder",Corded,,Power Tools,322001513,1,,,,,
,Batteries,Dewalt,,,,3,,,,,
,Chargers,Dewalt,,,,1,,,,,
,Chopsaw,,,Power Tools,,1,,,,,
,Warm Drive Circular Saw,Skilsaw,,Power Tools,,2,,,,,
,"7"" Angel Grinder",Dewalt,,Power Tools,,1,,,,,
,Hammer Drill,Dewalt,,Power Tools,,1,,,,,
,Water Pump,,,,,1,,,,,
,Wrenchn1/2 drive with battery,impact,,,,1,,,,,
,Wrenchn1/4 drive with battery,impact,,,,1,,,,,
,Wrenchn3/4 drive with battery,impact,,,,1,,,,,
,3M Harnesses,Bolt Float,,,,3,,,,,
,Concrete Vibrator Nozzle,,,,,1,,,,,
,Pick,,,,,2,,,,,
,Ropes,,,,,1,,,,,
,Shovel,,,,,4,,,,,
,Hand Blower,STIHL,BG86,,,1,,,,,
,Power Generator,,,,,1,,,,,
,Quicky Saw,STIHL,,Power Tools,,1,,,,,
,Concrete come along tool,,,,,4,,,,,
,Metal Gasoline CAN with Flex funnel Nozzle Red,Eagle,,,,4,,,,,
,"4-1/2"" Angel Grinder",Bosch,GW10-45PE,Power Tools,908052132,1,,,,,
,"4-1/2"" Angel Grinder",Bosch,GW10-45PE,Power Tools,908059426,1,,,,,
,"Drill Bet Bulldog 1/4""X6""",Bosch,HC2041,Power Tools,,10,,,,,
,"4-1/2"" Angel Grinder",Bosch,GW510-450PD,Power Tools,130006037,1,,,,,
,Hammer Drill,Bosch,RH540M,Power Tools,424000727,1,,,,,
,ELECTRIC HAMMER DRILL 13A,BOSCH,11264EVS,Power Tools,328000453,1,,,,,
,ELECTRIC HAMMER DRILL EXTREME BULL DOG,BOSCH,11255VSR,Power Tools,331009031,1,,,,,
,"7"" ANGEL GRAINDER 15 A",BOSCH,,Power Tools,32700162,1,,,,,
,"14"" QUIKIE SAW",STIHL,TS-420,Power Tools,,1,,,,,
,ELECTRIC EXTENSION CORD 100FT,,,,,1,,,,,
,"7 -1/4"" WORM DRIVE CIRCLE SAW 15A",SKILL SAW,,Power Tools,231000213,1,,,,,
,"7 -1/4"" WORM DRIVE CIRCLE SAW 15A",BOSCH,,Power Tools,329000171,1,,,,,
,"7"" ANGEL GRAINDER 15 A",DEWALL,DWE4517,Power Tools,5926,1,,,,,
,"3/4"" IMPACT WRENCH (tool only)",BOSCH,GDS18V-740N,Power Tools,231000256,1,,,,,
,CHARGER W/ BATTERY,BOSCH,GXS18V-12N14,,,1,,,,,
,ELECTRIC CONCRETE VIBRATOR,WACKER NEWSON,CONVERTER FUFLEX,,11576583,1,,,,,
,PERFORMANCE 2 TOOL COMBO KIT,BOSCH,GXL18V-227B25,,I#224006583 D#227000555,1,,,,,
,"3/4"" IMPACT WRENCH (tool only)",BOSCH,GDS18V-770LN,Power Tools,130000284,1,,,,,
,CHARGER W/ BATTERY LITHIUM KIT 8Ah.,BOSCH,,,,1,,,,,
,LEAF BLOWER,STIHL,BG56C,,539161101,1,,,,,
,"1/2"" Impact Wrench w/charger",BOSCH,GDS18V-740CB14,Power Tools,131000748,1,,,,,
,High Power Battery (8 Ah),BOSCH,GDA18V80,,321070136,1,,,,,
,High Power Battery (8 Ah),BOSCH,GDA18V80,,231210583,1,,,,,
,Charger 4 A/ 18 V,BOSCH,GAL18V-40,,,1,,,,,
,Charger 4 A/ 18 V,BOSCH,GAL18V-40,,,1,,,,,
,ELECTRIC HAMMER DRILL 13A,BOSCH,11264EVS,Power Tools,321004181,1,,,,,
,"1/2"" Impact Wrench w/charger",BOSCH,GDS18V-740CB14,Power Tools,223000085,1,,,,,
,"4 1/2"" Angel Grainder 10A",BOSCH,GWS10-450P,Power Tools,421040451,1,,,,,
,"4 1/2"" Angel Grainder 10A",BOSCH,GWS10-450P,Power Tools,329032444,1,,,,,
,Generetor,Honda,EB6500X,,EBLC-1520222,1,,,,,
,"2"" Water Pump",Honda,,,WAKT-3031003,1,,,,,
,Hammer Drill,BOSCH,RH-540M,Power Tools,228006344,1,,,,,
,ELECTRIC HAMMER DRILL,BOSCH,RH540M,Power Tools,331008833,1,,,,,
,ELECTRIC HAMMER DRILL EXTREME BULL DOG,BOSCH,11255VSR,Power Tools,331009014,1,,,,,
,"14"" QUIKIE SAW",STIHL,TS-420,Power Tools,193794053,1,,,,,
,"ELECTRIC DRILL 1/2""",DEWALL,DW235G,Power Tools,DL4RPZM,1,,,,,
,"ELECTRIC WARM DRIVE SAW 7 1/2""",SKILL SAW,,Power Tools,32004110,1,,,,,
,"3/4"" Impact Wrench (Tool Only)",BOSCH,GDS18V-740N,Power Tools,231000345,1,,,,,
,CHARGER W/BATTERY,BOSCH,GX518V-12N14,,,1,,,,,
,RECIPROCATING SAW 14 A,BOSCH,R5428,Power Tools,32600178,1,,,,,
,"1/2"" IMPACT WRENCH",BOSCH,GDS18V-740CB14,Power Tools,131000722,1,,,,,
,PERFORMANCE COMBO KIT (DRILL/IMPACT W/ BATTERY),BOSCH,GXL18V-227B25,Power Tools,D-222001321,1,,,,,
,ELECTRIC CONCRETE VIBRATOR,WACKER NEWSON,CONVERTER FUFLEX,,11622942,1,,,,,
,ELECTRIC CONCRETE VIBRATOR,WACKER NEWSON,CONVERTER FUFLEX,,11539648,1,,,,,
,LEAF BLOWER,STIHL,BG56C,,539161102,1,,,,,
,"3/4"" Impact Wrench (Tool Only)",BOSCH,GDS18V-770CN,Power Tools,130000159,1,,,,,
,High Power Battery 8 Ah,BOSCH,GDA18V80,,23120585,1,,,,,
,High Power Battery 8 Ah,BOSCH,GDA18V80,,328040149,1,,,,,
,Charger 4 A/ 18 V,BOSCH,GAL18V-40,,,1,,,,,
,Charger 4 A/ 18 V,BOSCH,GAL18V-40,,,1,,,,,
,"1/2"" IMPACT WRENCH",BOSCH,BDS18V-740,Power Tools,124000420,1,,,,,
,2 Tool Combo Kit,,GXL18V-260B26,,I:427000685 D:429000035,1,,,,,
,"7 1/4"" Warm Drive Saw",BOSCH,,Power Tools,332000083,1,,,,,
,Skill Saw,,,Power Tools,0 32004110,1,,,,,
,ReCIPROCATING SAW,BOSCH,RS325,Power Tools,230004461,1,,,,,
,Angle Grinder 18V,,GWS18V,Power Tools,828050262,1,,,,,
,"4 1/2"" Angle Grinder",,GWS10-450P,Power Tools,,1,,,,,
,"5"" Angle Grinder",,GWS18V-11P5N,Power Tools,532003633,1,,,,,
,"4 1/2"" Angle Grinder",,GWS10-450P,Power Tools,331036311,1,,,,,
,Fire Extinguishers,,5 LB,,,2,,,,,
,Power Generator,Mita,GEN-2000-IMMl/R200iSPB-A,,A2309080514,1,,,,,
,7k generator/Welder,Klutch,7RW MP195i,,24126000034,1,,,,,
,"50 ft"" Cable Set",,,,,1,,,,,
,Grinder,Bosch,GWS18V-10P,Power Tools,325019608,1,,,,,
,Grinder,Bosch,GWS18V-10,Power Tools,223025331,1,,,,,
,Worm Drive,Bosch,CSW41,,332000099,1,,,,,
,Worm Drive,Bosch,CSW41,,332000085,1,,,,,
,Cordless Impact Wrench,Bosch,GDX18V-1860C,Power Tools,421001713,1,,,,,
,Cordless Drill,Bosch,GSB18V-975C,Power Tools,227001278,1,,,,,
,Rotary Hammer,Bosch,RH540M,Power Tools,,1,,,,,
,Cordless Impact Wrench,Bosch,GDS18V-740C,Power Tools,227000246,1,,,,,
,Cordless Impact Wrench,Bosch,GDS18V-740C,Power Tools,223000014,1,,,,,
,Reciprocating Saw,Bosch,GSA18V-110,Power Tools,229002156,1,,,,,
,Rotary Hammer,Bosch,GBH2-28L,Power Tools,426001456,1,,,,,
,Blower,Bosch,GBL18V-71,,225002893,1,,,,,
,100' Heavy Duty Extension Cords,,,,,5,,,,,
,50' Heavy Duty Extension Cords,,,,,2,,,,,
,"48"" Shovel Square",,,,,4,,,,,
,heavy duty Ply Bars,,,,,2,,,,,
,Generator,Honda,EB6500X,,EBLC-1526883,1,,,,,
,Generator,Honda,EB6500X,,EBLC-1526877,1,,,,,
,Quikie Saw,Stihl,TS 420-Z,Power Tools,42380112821,1,,,,,
,Leaf Blower,Stihl,BG-50,,542629612,1,,,,,
,Pull Pin Tool,,,,,1,,,,,
,4' Leavel,,,,,1,,,,,
,"3-1/2"" Heavy Duty strap",,,,,2,,,,,
,PC-016,,,,,1,,,,,
,PC-006,,,,,1,,,,,
,Power Generator,Honda,,,EBCL-1520042,1,,,,,
,Wacker Newson,,6600,,5590605,1,,,,,
